Date,City,Value
01/03/2010,Trincomalee,145
01/04/2010,Trincomalee,60
01/05/2010,Trincomalee,22
01/06/2010,Trincomalee,38
01/07/2010,Trincomalee,89
01/08/2010,Trincomalee,46
01/09/2010,Trincomalee,21
01/10/2010,Trincomalee,17
01/11/2010,Trincomalee,11
01/12/2010,Trincomalee,22
01/01/2010,Kurunegala,197
01/02/2010,Kurunegala,142
01/03/2010,Kurunegala,99
01/04/2010,Kurunegala,54
01/05/2010,Kurunegala,100
01/06/2010,Kurunegala,151
01/07/2010,Kurunegala,300
01/08/2010,Kurunegala,214
01/09/2010,Kurunegala,78
01/10/2010,Kurunegala,47
01/11/2010,Kurunegala,21
01/12/2010,Kurunegala,26
01/01/2010,Puttalama,208
01/02/2010,Puttalama,189
01/03/2010,Puttalama,86
01/04/2010,Puttalama,50
01/05/2010,Puttalama,51
01/06/2010,Puttalama,106
01/07/2010,Puttalama,137
01/08/2010,Puttalama,82
01/09/2010,Puttalama,49
01/10/2010,Puttalama,31
01/11/2010,Puttalama,25
01/12/2010,Puttalama,45
01/01/2010,Anuradapura,267
01/02/2010,Anuradapura,296
01/03/2010,Anuradapura,131
01/04/2010,Anuradapura,48
01/05/2010,Anuradapura,21
01/06/2010,Anuradapura,38
01/07/2010,Anuradapura,83
01/08/2010,Anuradapura,67
01/09/2010,Anuradapura,60
01/10/2010,Anuradapura,33
01/11/2010,Anuradapura,26
01/12/2010,Anuradapura,40
01/01/2010,Polonnaruwa,33
01/02/2010,Polonnaruwa,42
01/03/2010,Polonnaruwa,34
01/04/2010,Polonnaruwa,50
01/05/2010,Polonnaruwa,60
01/06/2010,Polonnaruwa,61
01/07/2010,Polonnaruwa,51
01/08/2010,Polonnaruwa,30
01/09/2010,Polonnaruwa,21
01/10/2010,Polonnaruwa,8
01/11/2010,Polonnaruwa,5
01/12/2010,Polonnaruwa,7
01/01/2010,Badulla,71
01/02/2010,Badulla,68
01/03/2010,Badulla,49
01/04/2010,Badulla,47
01/05/2010,Badulla,69
01/06/2010,Badulla,118
01/07/2010,Badulla,372
01/08/2010,Badulla,319
01/09/2010,Badulla,120
01/10/2010,Badulla,43
01/11/2010,Badulla,26
01/12/2010,Badulla,40
01/01/2010,Monaragala,50
01/02/2010,Monaragala,39
01/03/2010,Monaragala,55
01/04/2010,Monaragala,67
01/05/2010,Monaragala,53
01/06/2010,Monaragala,93
01/07/2010,Monaragala,314
01/08/2010,Monaragala,219
01/09/2010,Monaragala,65
01/10/2010,Monaragala,50
01/11/2010,Monaragala,42
01/12/2010,Monaragala,24
01/01/2010,Rathnapura,93
01/02/2010,Rathnapura,141
01/03/2010,Rathnapura,234
01/04/2010,Rathnapura,270
01/05/2010,Rathnapura,274
01/06/2010,Rathnapura,432
01/07/2010,Rathnapura,492
01/08/2010,Rathnapura,438
01/09/2010,Rathnapura,246
01/10/2010,Rathnapura,118
01/11/2010,Rathnapura,53
01/12/2010,Rathnapura,46
01/01/2010,Kegalla,90
01/02/2010,Kegalla,136
01/03/2010,Kegalla,76
01/04/2010,Kegalla,49
01/05/2010,Kegalla,53
01/06/2010,Kegalla,117
01/07/2010,Kegalla,161
01/08/2010,Kegalla,104
01/09/2010,Kegalla,64
01/10/2010,Kegalla,25
01/11/2010,Kegalla,22
01/12/2010,Kegalla,21
01/01/2010,Kalminai,215
01/02/2010,Kalminai,174
01/03/2010,Kalminai,71
01/04/2010,Kalminai,57
01/05/2010,Kalminai,13
01/06/2010,Kalminai,8
01/07/2010,Kalminai,5
01/08/2010,Kalminai,9
01/09/2010,Kalminai,6
01/10/2010,Kalminai,10
01/11/2010,Kalminai,23
01/12/2010,Kalminai,15
01/01/2011,Colombo,309
01/02/2011,Colombo,392
01/03/2011,Colombo,340
01/04/2011,Colombo,528
01/05/2011,Colombo,698
01/06/2011,Colombo,1610
01/07/2011,Colombo,2085
01/08/2011,Colombo,824
01/09/2011,Colombo,863
01/10/2011,Colombo,599
01/11/2011,Colombo,536
01/12/2011,Colombo,1339
01/01/2011,Gampaha,134
01/02/2011,Gampaha,119
01/03/2011,Gampaha,141
01/04/2011,Gampaha,183
01/05/2011,Gampaha,218
01/06/2011,Gampaha,537
01/07/2011,Gampaha,911
01/08/2011,Gampaha,428
01/09/2011,Gampaha,367
01/10/2011,Gampaha,321
01/11/2011,Gampaha,347
01/12/2011,Gampaha,668
01/01/2011,Kalutara,48
01/02/2011,Kalutara,52
01/03/2011,Kalutara,57
01/04/2011,Kalutara,133
01/05/2011,Kalutara,148
01/06/2011,Kalutara,185
01/07/2011,Kalutara,188
01/08/2011,Kalutara,107
01/09/2011,Kalutara,93
01/10/2011,Kalutara,100
01/11/2011,Kalutara,111
01/12/2011,Kalutara,194
01/01/2011,Kandy,26
01/02/2011,Kandy,28
01/03/2011,Kandy,32
01/04/2011,Kandy,62
01/05/2011,Kandy,53
01/06/2011,Kandy,81
01/07/2011,Kandy,218
01/08/2011,Kandy,99
01/09/2011,Kandy,251
01/10/2011,Kandy,255
01/11/2011,Kandy,182
01/12/2011,Kandy,348
01/01/2011,Matale,10
01/02/2011,Matale,18
01/03/2011,Matale,16
01/04/2011,Matale,20
01/05/2011,Matale,37
01/06/2011,Matale,53
01/07/2011,Matale,66
01/08/2011,Matale,25
01/09/2011,Matale,26
01/10/2011,Matale,17
01/11/2011,Matale,21
01/12/2011,Matale,56
01/01/2011,N eliya,3
01/02/2011,N eliya,8
01/03/2011,N eliya,9
01/04/2011,N eliya,19
01/05/2011,N eliya,17
01/06/2011,N eliya,20
01/07/2011,N eliya,50
01/08/2011,N eliya,10
01/09/2011,N eliya,31
01/10/2011,N eliya,43
01/11/2011,N eliya,17
01/12/2011,N eliya,25
01/01/2011,Galle,7
01/02/2011,Galle,19
01/03/2011,Galle,30
01/04/2011,Galle,57
01/05/2011,Galle,98
01/06/2011,Galle,112
01/07/2011,Galle,168
01/08/2011,Galle,100
01/09/2011,Galle,96
01/10/2011,Galle,50
01/11/2011,Galle,49
01/12/2011,Galle,93
01/01/2011,Hambantota,16
01/02/2011,Hambantota,8
01/03/2011,Hambantota,27
01/04/2011,Hambantota,70
01/05/2011,Hambantota,87
01/06/2011,Hambantota,48
01/07/2011,Hambantota,51
01/08/2011,Hambantota,18
01/09/2011,Hambantota,19
01/10/2011,Hambantota,13
01/11/2011,Hambantota,20
01/12/2011,Hambantota,39
01/01/2011,Matara,14
01/02/2011,Matara,18
01/03/2011,Matara,35
01/04/2011,Matara,55
01/05/2011,Matara,57
01/06/2011,Matara,51
01/07/2011,Matara,83
01/08/2011,Matara,27
01/09/2011,Matara,63
01/10/2011,Matara,72
01/11/2011,Matara,141
01/12/2011,Matara,179
01/01/2011,Jaffna,58
01/02/2011,Jaffna,34
01/03/2011,Jaffna,24
01/04/2011,Jaffna,20
01/05/2011,Jaffna,10
01/06/2011,Jaffna,16
01/07/2011,Jaffna,35
01/08/2011,Jaffna,33
01/09/2011,Jaffna,46
01/10/2011,Jaffna,19
01/11/2011,Jaffna,34
01/12/2011,Jaffna,71
01/01/2011,Killinochchi,2
01/02/2011,Killinochchi,4
01/03/2011,Killinochchi,10
01/04/2011,Killinochchi,13
01/05/2011,Killinochchi,4
01/06/2011,Killinochchi,3
01/07/2011,Killinochchi,3
01/08/2011,Killinochchi,5
01/09/2011,Killinochchi,8
01/10/2011,Killinochchi,3
01/11/2011,Killinochchi,4
01/12/2011,Killinochchi,7
01/01/2011,Mannar,8
01/02/2011,Mannar,5
01/03/2011,Mannar,4
01/04/2011,Mannar,2
01/05/2011,Mannar,2
01/06/2011,Mannar,2
01/07/2011,Mannar,2
01/08/2011,Mannar,1
01/09/2011,Mannar,0
01/10/2011,Mannar,17
01/11/2011,Mannar,8
01/12/2011,Mannar,49
01/01/2011,Vauniya,13
01/02/2011,Vauniya,3
01/03/2011,Vauniya,15
01/04/2011,Vauniya,5
01/05/2011,Vauniya,7
01/06/2011,Vauniya,11
01/07/2011,Vauniya,8
01/08/2011,Vauniya,2
01/09/2011,Vauniya,3
01/10/2011,Vauniya,3
01/11/2011,Vauniya,4
01/12/2011,Vauniya,7
01/01/2011,Mulative,2
01/02/2011,Mulative,3
01/03/2011,Mulative,0
01/04/2011,Mulative,1
01/05/2011,Mulative,1
01/06/2011,Mulative,7
01/07/2011,Mulative,1
01/08/2011,Mulative,0
01/09/2011,Mulative,0
01/10/2011,Mulative,1
01/11/2011,Mulative,2
01/12/2011,Mulative,1
01/01/2011,Battocolo,31
01/02/2011,Battocolo,41
01/03/2011,Battocolo,104
01/04/2011,Battocolo,185
01/05/2011,Battocolo,141
01/06/2011,Battocolo,112
01/07/2011,Battocolo,53
01/08/2011,Battocolo,21
01/09/2011,Battocolo,35
01/10/2011,Battocolo,123
01/11/2011,Battocolo,289
01/12/2011,Battocolo,558
01/01/2011,Ampara,12
01/02/2011,Ampara,6
01/03/2011,Ampara,2
01/04/2011,Ampara,20
01/05/2011,Ampara,10
01/06/2011,Ampara,29
01/07/2011,Ampara,20
01/08/2011,Ampara,11
01/09/2011,Ampara,24
01/10/2011,Ampara,13
01/11/2011,Ampara,16
01/12/2011,Ampara,33
01/01/2011,Trincomalee,7
01/02/2011,Trincomalee,17
01/03/2011,Trincomalee,25
01/04/2011,Trincomalee,25
01/05/2011,Trincomalee,12
01/06/2011,Trincomalee,19
01/07/2011,Trincomalee,21
01/08/2011,Trincomalee,6
01/09/2011,Trincomalee,10
01/10/2011,Trincomalee,3
01/11/2011,Trincomalee,8
01/12/2011,Trincomalee,24
01/01/2011,Kurunegala,31
01/02/2011,Kurunegala,49
01/03/2011,Kurunegala,60
01/04/2011,Kurunegala,59
01/05/2011,Kurunegala,91
01/06/2011,Kurunegala,116
01/07/2011,Kurunegala,178
01/08/2011,Kurunegala,84
01/09/2011,Kurunegala,84
01/10/2011,Kurunegala,71
01/11/2011,Kurunegala,82
01/12/2011,Kurunegala,135
01/01/2011,Puttalama,72
01/02/2011,Puttalama,64
01/03/2011,Puttalama,49
01/04/2011,Puttalama,28
01/05/2011,Puttalama,21
01/06/2011,Puttalama,52
01/07/2011,Puttalama,62
01/08/2011,Puttalama,23
01/09/2011,Puttalama,31
01/10/2011,Puttalama,27
01/11/2011,Puttalama,40
01/12/2011,Puttalama,102
01/01/2011,Anuradapura,21
01/02/2011,Anuradapura,18
01/03/2011,Anuradapura,14
01/04/2011,Anuradapura,21
01/05/2011,Anuradapura,31
01/06/2011,Anuradapura,39
01/07/2011,Anuradapura,43
01/08/2011,Anuradapura,21
01/09/2011,Anuradapura,22
01/10/2011,Anuradapura,24
01/11/2011,Anuradapura,12
01/12/2011,Anuradapura,33
01/01/2011,Polonnaruwa,5
01/02/2011,Polonnaruwa,38
01/03/2011,Polonnaruwa,20
01/04/2011,Polonnaruwa,28
01/05/2011,Polonnaruwa,38
01/06/2011,Polonnaruwa,44
01/07/2011,Polonnaruwa,36
01/08/2011,Polonnaruwa,23
01/09/2011,Polonnaruwa,18
01/10/2011,Polonnaruwa,16
01/11/2011,Polonnaruwa,6
01/12/2011,Polonnaruwa,32
01/01/2011,Badulla,22
01/02/2011,Badulla,21
01/03/2011,Badulla,15
